News,Source / Said By,stated_on,Via,Writter,Published on,Classification
"During the debate, Kamala Harris said President Donald Trump “did not appoint minorities to the courts.”",Republican Party of Florida,"October 8, 2020",a tweet:,Amy Sherman,"October 9, 2020",FALSE
The Commission on Presidential Debates wrote a letter after the 2016 presidential debates apologizing to Donald Trump.,Donald Trump,"October 8, 2020",an,Samantha Putterman,"October 9, 2020",FALSE
Twitter removed this tweet from Donald Trump: “My blood IS the vaccine!!!!!”,Viral image,"October 8, 2020",a Facebook post:,Ciara O'Rourke,"October 9, 2020",pants-fire
"When Sara Gideon “knew the truth about” sexual allegations against a state lawmaker, “she could have called for an immediate investigation, but didn’t…Gideon knew for months, using her power to cover up.”",National Republican Senatorial Committee,"October 6, 2020",an ad:,Tom Kertscher,"October 9, 2020",FALSE
Says “Property crime rising in Austin. This is the kind of thing that happens when cities defund and deemphasize police. Residents are left to fend for themselves.”,Greg Abbott,"October 1, 2020",a tweet:,Brandon Mulder,"October 9, 2020",FALSE
"Says that Nikita Khrushchev said, “Your children's children will live under communism. You Americans are so gullible. No, you won't accept communism outright; but, we will keep feeding you small doses of socialism until you will finally wake up and find you already have Communism.”",Nikki Haley,"October 5, 2020",a post,Madison Czopek,"October 9, 2020",FALSE
"An appellate court found Kamala Harris and police “took part in framing and prosecuting a man” for a murder he didn’t commit, paying a key witness $60,000 in relocation benefits for testifying against him.",Viral image,"October 8, 2020",a Facebook post:,Ciara O'Rourke,"October 9, 2020",half-true
"Says the U.S. House’s COVID-19 relief bill, advanced by Democrats, “strips states of their right to administer elections.”",Glenn Grothman,"October 4, 2020",Newsletter:,Haley BeMiller,"October 9, 2020",FALSE
Says ballots in Wisconsin “are being dumped in rivers” or creeks.,Donald Trump,"September 29, 2020",a debate:,Eric Litke,"October 9, 2020",FALSE
Says Joe Biden and Kamala Harris support abortion “up to the moment of birth.”,Mike Pence,"October 7, 2020",a debate:,Miriam Valverde,"October 9, 2020",FALSE
"As vice president, Kamala Harris would “defund, dismantle, and dissolve police departments.”",Mike Pence,"October 8, 2020",a Facebook ad:,Daniel Funke,"October 8, 2020",FALSE
"“Shredded Pennsylvania Mail in ballot Applications were discovered in a trailer.
The applications were for @realDonaldTrump.”",Bloggers,"October 7, 2020",a post,Aaron Sharockman,"October 8, 2020",FALSE
